"GeneSymbol","ModuleColor","ModuleLabel","kME_own","SelectionReason"
"PAK3","turquoise",1,0.859848069386975,"kME_hubs_only"
"BLCAP","turquoise",1,0.857580166939804,"kME_hubs_only"
"TMEM155","turquoise",1,0.867590106212275,"kME_hubs_only"
"LRRC4C","turquoise",1,0.872711255068265,"kME_hubs_only"
"CBLB","yellow",4,0.863254340759502,"kME_hubs_only"
"SNAP47","turquoise",1,0.861681216195562,"kME_hubs_only"
"FOXN3","yellow",4,0.867354796090906,"kME_hubs_only"
"CHGB","red",6,0.859366553869939,"kME_hubs_only"
"OAT","turquoise",1,0.853944663615042,"kME_hubs_only"
"FAT2","yellow",4,0.873901228069179,"kME_hubs_only"
"UHMK1","turquoise",1,0.866306948709657,"kME_hubs_only"
"PDE8A","brown",3,0.85179759268875,"kME_hubs_only"
"SGIP1","turquoise",1,0.854767154768778,"kME_hubs_only"
"SKAP2","turquoise",1,0.85094721378923,"kME_hubs_only"
"PDF","turquoise",1,0.88773673983659,"kME_hubs_only"
"SKI","yellow",4,0.851338925529725,"kME_hubs_only"
"MTPN","turquoise",1,0.857516390892423,"kME_hubs_only"
"DOCK10","brown",3,0.870400982812598,"kME_hubs_only"
"ZNF521","yellow",4,0.866683517195414,"kME_hubs_only"
"AP3M2","turquoise",1,0.87138230695973,"kME_hubs_only"
"PCLO","red",6,0.874696032725273,"kME_hubs_only"
"MRPS36","turquoise",1,0.867766804042622,"kME_hubs_only"
"SMG1P1","green",5,0.852000289043182,"kME_hubs_only"
"PIP4K2A","brown",3,0.932471386076568,"kME_hubs_only"
"LAMP2","brown",3,0.878915350221707,"kME_hubs_only"
"MOG","brown",3,0.882666685710327,"kME_hubs_only"
"C1orf198","brown",3,0.861232529474444,"kME_hubs_only"
"EFHD1","brown",3,0.911167818441338,"kME_hubs_only"
"HSPA2","brown",3,0.934860950188454,"kME_hubs_only"
"CLDND1","brown",3,0.895846020873852,"kME_hubs_only"
"ERBB3","brown",3,0.857956021544177,"kME_hubs_only"
"LPAR1","brown",3,0.881156230269462,"kME_hubs_only"
"SOX10","brown",3,0.878529353261074,"kME_hubs_only"
"PLA2G16","brown",3,0.917655330893684,"kME_hubs_only"
"DBNDD2","brown",3,0.854656696839962,"kME_hubs_only"
"MAL","brown",3,0.882259313944754,"kME_hubs_only"
"KIF13B","brown",3,0.860604762192338,"kME_hubs_only"
"DAAM2","brown",3,0.883467813491009,"kME_hubs_only"
