feature	logFC	AveExpr	t	P.Value	adj.P.Val	B
ILMN_1775330	0.781258712572269	4.44252145609182	6.35748356417405	4.82701936569981e-09	0.00017447261497322	10.0502489858102
ILMN_1670379	0.544458744321616	6.2866130704258	5.84247503115803	5.34412544417367e-08	0.000965817070898286	7.89502930459385
ILMN_2191167	-0.611648444423683	3.30737372685111	-5.60402192524307	1.57491441522777e-07	0.00144061484243711	6.92664092832966
ILMN_1769118	0.456942792150199	6.50005269282662	5.60129975156987	1.5942618259091e-07	0.00144061484243711	6.91570409413834
ILMN_1815057	0.548786482779055	5.03718626569419	5.4028363804166	3.8513685748395e-07	0.00277000219958752	6.12591345396067
ILMN_1726981	0.470253248465391	5.97112782354454	5.33367463434257	5.21696371356325e-07	0.00277000219958752	5.85430245801501
ILMN_1752968	0.567399505350846	6.13649407955111	5.3272953067816	5.36450834060385e-07	0.00277000219958752	5.82934682253561
ILMN_1769309	-0.383399623725602	5.59491110812321	-5.23797941032999	7.91220151719953e-07	0.00319563881699307	5.48170185166351
ILMN_1660552	0.536390755414767	3.90701163763015	5.19179851035688	9.65953501537074e-07	0.00319563881699307	5.30325601937961
ILMN_2349658	0.512608998338472	3.18539832322738	5.19162836870013	9.66662173573564e-07	0.00319563881699307	5.30260024955174
ILMN_2313730	0.440174335812281	5.39774268096682	5.18883365181663	9.78375557688674e-07	0.00319563881699307	5.29183045153118
ILMN_1795865	0.527067016781374	5.10831152258111	5.17001383920965	1.06093970961175e-06	0.00319563881699307	5.21939258717657
ILMN_1675936	0.719035120861566	5.6892554033846	5.06646740129491	1.6520423355142e-06	0.00459331309362776	4.82357592227766
ILMN_1743445	0.401854411272842	8.84932726331102	4.97053569051522	2.47896735875441e-06	0.00584250471363372	4.46109364545595
ILMN_1754489	-0.317687434132687	5.34040754141189	-4.95824671439133	2.61042647453753e-06	0.00584250471363372	4.41495930789092
ILMN_1773797	-0.346816365517148	4.70523624760354	-4.93563358035593	2.87026861414899e-06	0.00584250471363372	4.3302472567509
ILMN_1688953	0.468592387288179	3.23181258186461	4.92195753756542	3.03944525195754e-06	0.00584250471363372	4.2791288567068
ILMN_1859030	-0.327752367857712	4.98671594012007	-4.9005071797484	3.32449333996316e-06	0.00584250471363372	4.19912567552383
ILMN_1738707	0.614002373374179	3.88639547416347	4.89680802303069	3.37620955459384e-06	0.00584250471363372	4.18535054759377
ILMN_1714397	0.41902330851442	5.54320363460158	4.87949889309787	3.62877409688107e-06	0.00584250471363372	4.1209785357155
ILMN_1724628	0.606389168790183	4.36644332343009	4.87579624740143	3.68513731022257e-06	0.00584250471363372	4.10722669923268
ILMN_1764410	0.405260989396522	4.58679846624611	4.8663805967864	3.83232547008323e-06	0.00584250471363372	4.07228536421515
ILMN_1884758	-0.421681625762896	5.61034219996119	-4.8581807426644	3.96514830666101e-06	0.00584250471363372	4.04188972912013
ILMN_1689088	0.822781456396793	4.11069154075164	4.85386128568419	4.03690318181336e-06	0.00584250471363372	4.02589086464431
ILMN_1873925	0.422686408458167	4.42008378385386	4.85361581420085	4.04101861504615e-06	0.00584250471363372	4.02498192509964
ILMN_1697176	0.565333386795586	8.14279073924657	4.84147110843615	4.24979791520707e-06	0.00588216993870709	3.98004761615951
ILMN_1746241	0.374626964370981	6.92388486970535	4.81798199215178	4.68372655361981e-06	0.00588216993870709	3.89333811928831
ILMN_1656285	0.531511407813775	7.46319544356077	4.81630357340289	4.71632850982652e-06	0.00588216993870709	3.88715231147397
ILMN_1782237	-0.34285492232042	4.27975858766041	-4.79664129193475	5.11504612514277e-06	0.00588216993870709	3.81478712865293
ILMN_2053527	0.486905551447311	5.24230834786636	4.7954330455762	5.1405863101526e-06	0.00588216993870709	3.81034632011503
