feature	logFC	AveExpr	t	P.Value	adj.P.Val	B
ILMN_1670379	0.587717485470153	6.2866130704258	6.54632050153084	1.95626480144848e-09	4.48529032441096e-05	11.0445951014141
ILMN_2132982	0.803265053627288	5.33494746882701	6.49678518149079	2.481831691471e-09	4.48529032441096e-05	10.8268779987292
ILMN_2250521	1.16838950626729	3.51578972525788	6.34924704788789	5.01972706828282e-09	5.60372990823261e-05	10.182440536841
ILMN_1800468	0.677041123252054	3.07795696873467	6.30469044828407	6.20138874890869e-09	5.60372990823261e-05	9.98904426793564
ILMN_1736178	1.13076655080533	5.60088179197389	6.23773868772871	8.50991824572787e-09	6.15181989983668e-05	9.6995489143935
ILMN_1782237	-0.415330540538506	4.27975858766041	-6.03139101389389	2.23589615515971e-08	0.000121136001340235	8.8160331027473
ILMN_1705302	0.492631764690959	5.18307624942992	6.02104327137656	2.34597318960201e-08	0.000121136001340235	8.77208699996931
ILMN_2137789	1.10657343664545	3.96342286757907	5.81006473331061	6.19768128163397e-08	0.000246494270394774	7.88398133533363
ILMN_3246065	0.539016310296934	3.64867345352956	5.80765201284299	6.26632630842286e-08	0.000246494270394774	7.87391466493291
ILMN_1735743	-0.588973318938515	4.5530536994898	-5.78910312260848	6.81959525231082e-08	0.000246494270394774	7.79659210020713
ILMN_1697176	0.648648065484177	8.14279073924657	5.76605262789362	7.57431098293944e-08	0.000248884973162133	7.7006766782881
ILMN_1775330	0.674914401242968	4.44252145609182	5.70080035600407	1.01837295079364e-07	0.000292534501045715	7.43020485098183
ILMN_1668526	-0.501206105678788	3.15918948308728	-5.6908975733578	1.06501420489607e-07	0.000292534501045715	7.38929475933384
ILMN_1683920	-0.407153609360337	3.86195480626067	-5.6771859381143	1.13307041489556e-07	0.000292534501045715	7.3327099198003
ILMN_1666536	-0.368129518468108	4.44714817601709	-5.65806623647309	1.23513754857859e-07	0.000297626977955821	7.25392463664672
ILMN_2071809	1.1793653866515	4.91361642769989	5.62570769649309	1.42878859338043e-07	0.000322371762196221	7.12090092530074
ILMN_3244121	-0.360350259035416	4.05070539138873	-5.59651924512403	1.62880377338204e-07	0.000322371762196221	7.00125097937636
ILMN_1769118	0.439620753886514	6.50005269282662	5.5937355975089	1.64925402228853e-07	0.000322371762196221	6.98985724471444
ILMN_1704173	0.417503625606257	4.70006875518208	5.58768444122684	1.69458112649833e-07	0.000322371762196221	6.96509957522038
ILMN_1736567	0.786385891769514	5.94723456151769	5.56377422304247	1.88593197065466e-07	0.000340835055396564	6.86741182043607
ILMN_2302358	-0.523088146397541	3.24042414215772	-5.51868609266062	2.30605346940476e-07	0.000396915726912548	6.68380551317071
ILMN_1735788	0.525230072381902	3.54643336886758	5.44249477085443	3.23324081812352e-07	0.000490188383219036	6.37537148303278
ILMN_1781285	0.659919780869478	6.41878978940421	5.44140636982801	3.24883041294582e-07	0.000490188383219036	6.37098235103883
ILMN_1786197	0.386675234067487	7.21470393479539	5.44099005419268	3.25481289175733e-07	0.000490188383219036	6.36930362580196
