feature	logFC	AveExpr	t	P.Value	adj.P.Val	B
ILMN_2132982	0.656820638571486	5.33494746882701	5.91137241938652	3.89506950949079e-08	0.00140787287420545	8.10811138067521
ILMN_2206098	-0.512700142875927	3.35500889747029	-5.74564366807855	8.31056245762311e-08	0.00150192640015394	7.43536774587148
ILMN_1676118	0.385236633960784	5.29307559757265	5.40180084630614	3.86896740811579e-07	0.00466146089887818	6.07059511512618
ILMN_1792752	0.610773369766451	4.98106014971833	5.26987569076061	6.88973630301603e-07	0.00517240745699035	5.55893545794525
ILMN_1769024	0.449062461997522	6.15033389239618	5.26117510314948	7.1550801729013e-07	0.00517240745699035	5.52543749907743
ILMN_1891130	-0.36732090315858	3.65091360742227	-5.12119189427155	1.30810007044008e-06	0.00788021284100945	4.99081396323295
ILMN_3237645	-0.41066396214458	3.19896034874427	-5.06997671694057	1.62756401179631e-06	0.00812818010977133	4.79729092255439
ILMN_1859743	-0.44602185716229	3.07650808852944	-5.02013547342651	2.01085048624993e-06	0.00812818010977133	4.61005559768778
ILMN_1895504	-0.414504279420598	4.13853859942563	-5.01421641418782	2.06183082687632e-06	0.00812818010977133	4.58789248291767
ILMN_2122176	-0.430459477931322	3.87551906502555	-4.99366757911864	2.24877026138368e-06	0.00812818010977133	4.51107077746698
ILMN_1728059	0.321509795311661	5.84722886046657	4.95561447127959	2.63945378980183e-06	0.0085066677633582	4.36930727478202
ILMN_1800227	0.446118814589922	3.20340773085096	4.92527006361796	2.99759973956748e-06	0.0085066677633582	4.25672939203737
ILMN_2361603	-0.38823877161917	8.2630213625951	-4.91752786505446	3.09629170780477e-06	0.0085066677633582	4.2280727386783
ILMN_1742276	0.371285672003639	4.9552369522226	4.9026508071369	3.29487754010278e-06	0.0085066677633582	4.17308420609127
ILMN_2055391	-0.371868067920801	3.36195588297499	-4.83560568599408	4.35434557685097e-06	0.00991060445529893	3.92653692749083
ILMN_1718997	-0.379820387195978	3.38938887614971	-4.83138984229941	4.43102888486827e-06	0.00991060445529893	3.91110363013311
ILMN_1703013	0.355973432398361	3.84193071741234	4.81914662145468	4.66123324775437e-06	0.00991060445529893	3.86633101238341
ILMN_3240144	-0.754061326106023	5.46853439471164	-4.77974197580721	5.48371972810639e-06	0.0110116138651336	3.72271004405433
ILMN_1780103	0.359071719402385	3.1900367683006	4.7566306435228	6.02990850684956e-06	0.0114711075252672	3.6388171123965
ILMN_2127842	-0.660857827421606	7.10203771299005	-4.73792896600659	6.51017586818031e-06	0.0117655153377689	3.57111788798753
ILMN_2062381	0.330586362506788	6.416700477424	4.71746554338232	7.07818090801717e-06	0.0120649154308977	3.49723391915799
ILMN_1651799	0.398219159077848	7.26450098531709	4.70844938884985	7.34342618563425e-06	0.0120649154308977	3.46474494792554
ILMN_1729225	-0.400233696066004	3.55846955311439	-4.69131311581211	7.87436062940211e-06	0.0122363369621631	3.40310452498791
ILMN_1771410	0.346023736623491	5.09558480577808	4.68080980045611	8.2179759510106e-06	0.0122363369621631	3.36539401103892
