logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneSymbol
-0.895987422485922,-0.500405187659529,-25.9723443214824,9.55795085861456e-93,1.66356134694186e-88,200.827890035824,CRH
-0.318385252378178,-0.144647113980086,-24.0062253582543,1.35755065982922e-83,1.18140846171638e-79,179.874660419929,CORT
-0.547300420667,-0.218476530008779,-23.5690364347001,1.51568440252379e-81,8.79349567530887e-78,175.185534290272,VGF
-0.505062577932174,-0.202269785349036,-23.3941770154488,1.00151505668484e-80,4.35784239039993e-77,173.307735031979,NEUROD6
-0.488362097310754,-0.219588459917024,-23.2265388217048,6.12790102774135e-80,2.13312234775677e-76,171.506369024247,FRMPD2
-0.636033346629256,-0.364727538321199,-23.0386718071363,4.67082348194321e-79,1.35492804505369e-75,169.486443643868,PPEF1
0.588754688505751,-0.0227356594539615,23.0181128759024,5.83381651050748e-79,1.45053680521975e-75,169.265324964415,FKBP5
0.215733338396835,0.0462947478436831,22.7967792192369,6.39494994414085e-78,1.39130129722214e-74,166.883983767515,AFF1
-0.589939220635091,-0.312017272944325,-22.6809647822117,2.23973285036812e-77,4.33139447340635e-74,165.637378032785,VIP
0.403140454207975,0.0439253018526767,22.6518764687808,3.06861224858053e-77,5.34091961865441e-74,165.324222165092,ITPKB
-0.463698883278445,-0.22754587712848,-22.5429774589218,9.97604720251685e-77,1.57848274145278e-73,164.151667200214,DUSP4
0.360369937737099,0.033120593038758,22.303515356968,1.33422003059779e-75,1.93517496937955e-72,161.57239094003,NFKBIA
0.561449083551734,-0.0378987706980728,22.0609541772614,1.8471311418449e-74,2.29637982312932e-71,158.958710466913,C4A
0.560816821031403,-0.0380961295706638,21.8673670572431,1.50508459870259e-73,1.74639982936124e-70,156.872206663552,C4B
-0.46670085557563,-0.194732369083512,-21.7595898294145,4.8399495533284e-73,5.17117656906876e-70,155.710430254638,BDNF
0.49946560216098,-0.0460462506541756,21.7556544404608,5.05084755381608e-73,5.17117656906876e-70,155.668007618795,SLC7A2
-0.426000154101046,-0.222860408535332,-21.2075612647116,1.91967338965463e-70,1.85621751927438e-67,149.759480643632,NMU
0.341298181557759,0.0346971419480514,21.1279185468527,4.55049757102852e-70,4.16849527493429e-67,148.901011583247,ZFP36L1
-0.27104998676433,-0.0910397216466809,-21.1228945828493,4.80510506441333e-70,4.1816426823057e-67,148.846860127313,GSG1
-0.604014921160774,-0.373562611203426,-21.0366125886452,1.22390833503111e-69,9.68278389600749e-67,147.916898433248,SST
0.247580834773907,0.0221957580948608,21.0005299878117,1.80943787996327e-69,1.31221942919837e-66,147.528018981769,CALML4
-0.502574301993177,-0.246609810486081,-20.9954451138379,1.91192616971617e-69,1.3310829993564e-66,147.473218151,FREM3
0.288941757256044,0.0654157318674518,20.9646680973052,2.66865605586205e-69,1.78645994816457e-66,147.141534448874,CD59
-0.340628778535982,-0.130454076004069,-20.8127162718614,1.38424650515997e-68,8.92326311937381e-66,145.50415209339,NRN1
-0.24345505380717,-0.105858115134904,-20.7899558500426,1.77127099871918e-68,1.08932615396189e-65,145.258925695445,CHCHD6
0.422041750338995,0.0237709585374732,20.7865063391556,1.83870538717687e-68,1.08932615396189e-65,145.221760619,RHBDF2
-0.234366415958347,-0.0708528291036403,-20.7845733685403,1.87760899849794e-68,1.08932615396189e-65,145.200934861586,WSB2
-0.344516255557149,-0.127665548260236,-20.773203971049,2.12367499287123e-68,1.1923407500298e-65,145.078442748244,GRP
0.401525122510107,0.0674791260085653,20.7642962683107,2.3387840996474e-68,1.27207928919884e-65,144.982474209675,KLF15
0.311263269314155,0.0377319419077088,20.6997744738419,4.70416405110207e-68,2.48109016089186e-65,144.287383779825,TNFRSF10B
-0.601453924244419,-0.380139985569593,-20.6127681096024,1.20691395027432e-67,6.17833450133073e-65,143.350203345106,CBLN4
0.213449599646895,0.048586510233833,20.5978965273336,1.41778552428791e-67,7.05044487149461e-65,143.190032223502,PNRC1
0.569289060167391,0.0150201651477516,20.482080745965,4.96774901314604e-67,2.33685598848126e-64,141.94284470114,SLCO4A1
-0.356543373780726,-0.172418103593362,-20.4395553352283,7.87173447152863e-67,3.34164727992575e-64,141.484986278936,SLC10A4
-0.271645877884363,-0.0892392478650964,-20.4186754996734,9.86774975682921e-67,4.08924248851458e-64,141.260197240973,PNOC
-0.288998303455466,-0.0889048723687366,-20.3407093951907,2.29433895409719e-66,8.77377646999907e-64,140.420935690402,RBM9
-0.377873552504293,-0.174110962650964,-20.3397278415436,2.3188377915539e-66,8.77377646999907e-64,140.410370948333,CHML
0.290597684669941,0.084609987409636,20.3013015454713,3.51434112095942e-66,1.27431473354789e-63,139.99680074052,PXN
0.233843235844871,0.0328267557252677,20.2985417743607,3.62086153876488e-66,1.28614479759597e-63,139.967099934432,PRKD3
