alpha,mean_oof_auc,sd_oof_auc,mean_n_genes,median_n_genes,selected,selection_score
0.4,0.947389904801041,0.00585947922932559,18.4666666666667,17,FALSE,0.937556571467708
0.55,0.947015957811109,0.00614104583506246,17.0333333333333,17,FALSE,0.938199291144442
0.7,0.946983083350456,0.0058537638287133,15.9,16,FALSE,0.939033083350455
0.85,0.946892678583659,0.00592316881795591,14.2666666666667,13,TRUE,0.939459345250325
1,0.946283816176974,0.00617728918479677,12.6666666666667,11.5,FALSE,0.939350482843641
